name,code,pop
Afghanistan,AFG,93.45
Mongolia,MNG,92.45
Ghana,GHA,89.2
Lebanon,LBN,88.37
Nigeria,NGA,87.63
Vietnam,VNM,86.47
Monaco,MCO,86.33
Bangladesh,BGD,86.21
Egypt,EGY,85.65
Nepal,NPL,84.77
Peru,PER,84.13
China,CHN,80.77
North Macedonia,MKD,80.23
Cambodia,KHM,79.5
Ethiopia,ETH,79.19
India,IND,78.87
Iraq,IRQ,78.83
Azerbaijan,AZE,78.12
Dominican Republic,DOM,77.9
Jordan,JOR,77.78
Albania,ALB,77.77
Iran,IRN,77.45
Malta,MLT,77.07
Kenya,KEN,76.6
Kazakhstan,KAZ,75.15
Thailand,THA,75.07
Zimbabwe,ZWE,74.61
Bolivia,BOL,74.6
Philippines,PHL,74.28
Pakistan,PAK,74.25
Venezuela,VEN,73.76
Bahrain,BHR,71.43
Georgia,GEO,71.09
Guatemala,GTM,70.65
Morocco,MAR,70.64
Tunisia,TUN,69.53
Jamaica,JAM,68.92
Kuwait,KWT,68.69
Syria,SYR,68.42
Trinidad And Tobago,TTO,68.31
Hong Kong,HKG,67.69
Turkey,TUR,67.35
Indonesia,IDN,66.56
Mexico,MEX,66.1
Chile,CHL,65.78
Algeria,DZA,65.75
Bulgaria,BGR,65.33
Saudi Arabia,SAU,65.09
Ukraine,UKR,65.08
Taiwan,TWN,63.35
Malaysia,MYS,63.18
Panama,PAN,63.09
Tanzania,TZA,62.93
Colombia,COL,62.83
Russia,RUS,62.79
South Korea,KOR,62.48
Bosnia And Herzegovina,BIH,62.33
Qatar,QAT,61.06
Serbia,SRB,60.32
Armenia,ARM,60.23
Sri Lanka,LKA,59.14
Romania,ROU,58.42
South Africa,ZAF,57.3
Israel,ISR,57.25
Ecuador,ECU,57
Mauritius,MUS,55.88
Italy,ITA,55.63
Brazil,BRA,54.98
Poland,POL,54.46
Cyprus,CYP,53.55
Belgium,BEL,52.94
Greece,GRC,52.55
United Arab Emirates,UAE,51.15
Argentina,ARG,50.67
Puerto Rico,PRI,49.93
Hungary,HUN,48.29
Costa Rica,CRI,46.97
Montenegro,MNE,45.14
Uruguay,URY,44.84
Belarus,BLR,43.63
France,FRA,43.56
United Kingdom,GBR,40.56
Czech Republic,CZE,40.23
Spain,ESP,39.99
Slovakia,SVK,39.66
Japan,JPN,39.59
Oman,OMN,37.74
United States,USA,36.88
Ireland,IRL,33.99
Latvia,LVA,33.73
Singapore,SGP,33.48
Portugal,PRT,30.89
Croatia,HRV,30.46
Germany,DEU,29.03
Lithuania,LTU,28.8
Canada,CAN,27.83
Netherlands,NLD,27.41
Luxembourg,LUX,24.28
Slovenia,SVN,24.06
Australia,AUS,23.46
New Zealand,NZL,23.4
Switzerland,CHE,22.39
Austria,AUT,22.19
Denmark,DNK,21.33
Norway,NOR,20.35
Estonia,EST,19.81
Sweden,SWE,18.09
Iceland,ISL,16.21
Finland,FIN,11.55
